Date,Close,Symbol
2011-02-15,359.9,WIKI/AAPL.4
2011-02-16,363.13,WIKI/AAPL.4
2011-02-17,358.3,WIKI/AAPL.4
2011-02-18,350.56,WIKI/AAPL.4
2011-02-22,338.61,WIKI/AAPL.4
2011-02-23,342.62,WIKI/AAPL.4
2011-02-24,342.88,WIKI/AAPL.4
2011-02-25,348.16,WIKI/AAPL.4
2011-02-28,353.21,WIKI/AAPL.4
2011-03-01,349.31,WIKI/AAPL.4
2011-03-02,352.12,WIKI/AAPL.4
2011-03-03,359.56,WIKI/AAPL.4
2011-03-04,360.0,WIKI/AAPL.4
2011-03-07,355.36,WIKI/AAPL.4
2011-03-08,355.76,WIKI/AAPL.4
2011-03-09,352.47,WIKI/AAPL.4
2011-03-10,346.67,WIKI/AAPL.4
2011-03-11,351.99,WIKI/AAPL.4
2011-03-14,353.56,WIKI/AAPL.4
2011-03-15,345.43,WIKI/AAPL.4
2011-03-16,330.01,WIKI/AAPL.4
2011-03-17,334.64,WIKI/AAPL.4
2011-03-18,330.67,WIKI/AAPL.4
2011-03-21,339.3,WIKI/AAPL.4
2011-03-22,341.2,WIKI/AAPL.4
2011-03-23,339.19,WIKI/AAPL.4
2011-03-24,344.97,WIKI/AAPL.4
2011-03-25,351.54,WIKI/AAPL.4
2011-03-28,350.44,WIKI/AAPL.4
2011-03-29,350.96,WIKI/AAPL.4
2011-03-30,348.63,WIKI/AAPL.4
2011-03-31,348.5075,WIKI/AAPL.4
2011-04-01,344.56,WIKI/AAPL.4
2011-04-04,341.19,WIKI/AAPL.4
2011-04-05,338.89,WIKI/AAPL.4
2011-04-06,338.04,WIKI/AAPL.4
2011-04-07,338.08,WIKI/AAPL.4
2011-04-08,335.06,WIKI/AAPL.4
2011-04-11,330.8,WIKI/AAPL.4
2011-04-12,332.4,WIKI/AAPL.4
2011-04-13,336.13,WIKI/AAPL.4
2011-04-14,332.42,WIKI/AAPL.4
2011-04-15,327.46,WIKI/AAPL.4
2011-04-18,331.85,WIKI/AAPL.4
2011-04-19,337.86,WIKI/AAPL.4
2011-04-20,342.41,WIKI/AAPL.4
2011-04-21,350.696,WIKI/AAPL.4
2011-04-25,353.009,WIKI/AAPL.4
2011-04-26,350.42,WIKI/AAPL.4
2011-04-27,350.15,WIKI/AAPL.4
2011-04-28,346.75,WIKI/AAPL.4
2011-04-29,350.13,WIKI/AAPL.4
2011-05-02,346.28,WIKI/AAPL.4
2011-05-03,348.2,WIKI/AAPL.4
2011-05-04,349.57,WIKI/AAPL.4
2011-05-05,346.75,WIKI/AAPL.4
2011-05-06,346.66,WIKI/AAPL.4
2011-05-09,347.6,WIKI/AAPL.4
2011-05-10,349.45,WIKI/AAPL.4
2011-05-11,347.23,WIKI/AAPL.4
2011-05-12,346.57,WIKI/AAPL.4
2011-05-13,340.5,WIKI/AAPL.4
2011-05-16,333.3,WIKI/AAPL.4
2011-05-17,336.14,WIKI/AAPL.4
2011-05-18,339.87,WIKI/AAPL.4
2011-05-19,340.53,WIKI/AAPL.4
2011-05-20,335.22,WIKI/AAPL.4
2011-05-23,334.4,WIKI/AAPL.4
2011-05-24,332.19,WIKI/AAPL.4
2011-05-25,336.78,WIKI/AAPL.4
2011-05-26,335.0,WIKI/AAPL.4
2011-05-27,337.41,WIKI/AAPL.4
2011-05-31,347.83,WIKI/AAPL.4
2011-06-01,345.51,WIKI/AAPL.4
2011-06-02,346.102,WIKI/AAPL.4
2011-06-03,343.44,WIKI/AAPL.4
2011-06-06,338.04,WIKI/AAPL.4
2011-06-07,332.04,WIKI/AAPL.4
2011-06-08,332.24,WIKI/AAPL.4
2011-06-09,331.49,WIKI/AAPL.4
2011-06-10,325.9,WIKI/AAPL.4
2011-06-13,326.6,WIKI/AAPL.4
2011-06-14,332.44,WIKI/AAPL.4
2011-06-15,326.75,WIKI/AAPL.4
2011-06-16,325.16,WIKI/AAPL.4
2011-06-17,320.26,WIKI/AAPL.4
2011-06-20,315.32,WIKI/AAPL.4
2011-06-21,325.3,WIKI/AAPL.4
2011-06-22,322.61,WIKI/AAPL.4
2011-06-23,331.23,WIKI/AAPL.4
2011-06-24,326.35,WIKI/AAPL.4
2011-06-27,332.04,WIKI/AAPL.4
2011-06-28,335.26,WIKI/AAPL.4
2011-06-29,334.04,WIKI/AAPL.4
2011-06-30,335.67,WIKI/AAPL.4
2011-07-01,343.26,WIKI/AAPL.4
2011-07-05,349.43,WIKI/AAPL.4
2011-07-06,351.76,WIKI/AAPL.4
2011-07-07,357.2,WIKI/AAPL.4
2011-07-08,359.71,WIKI/AAPL.4
2011-07-11,354.0,WIKI/AAPL.4
2011-07-12,353.75,WIKI/AAPL.4
2011-07-13,358.02,WIKI/AAPL.4
2011-07-14,357.77,WIKI/AAPL.4
2011-07-15,364.92,WIKI/AAPL.4
2011-07-18,373.8,WIKI/AAPL.4
2011-07-19,376.85,WIKI/AAPL.4
2011-07-20,386.9,WIKI/AAPL.4
2011-07-21,387.29,WIKI/AAPL.4
2011-07-22,393.3,WIKI/AAPL.4
2011-07-25,398.5,WIKI/AAPL.4
2011-07-26,403.41,WIKI/AAPL.4
2011-07-27,392.59,WIKI/AAPL.4
2011-07-28,391.82,WIKI/AAPL.4
2011-07-29,390.48,WIKI/AAPL.4
2011-08-01,396.75,WIKI/AAPL.4
2011-08-02,388.91,WIKI/AAPL.4
2011-08-03,392.57,WIKI/AAPL.4
2011-08-04,377.37,WIKI/AAPL.4
2011-08-05,373.62,WIKI/AAPL.4
2011-08-08,353.21,WIKI/AAPL.4
2011-08-09,374.01,WIKI/AAPL.4
2011-08-10,363.69,WIKI/AAPL.4
2011-08-11,373.7,WIKI/AAPL.4
