,datadate_full,tic,Close,Volume,Low,High,Open
694,2018-11-30,SONY,52.81999969482422,809500,52.58000183105469,53.290000915527344,52.869998931884766
695,2018-11-30,AAPL,23.365333557128906,84436500,22.55066680908203,23.440000534057617,22.788667678833008
696,2018-12-03,TSLA,46.20500183105469,163210000,45.3025016784668,46.23500061035156,46.1150016784668
697,2018-12-03,AAPL,54.16999816894531,1082700,53.869998931884766,54.34000015258789,54.08000183105469
698,2018-12-03,SONY,23.89933204650879,124597500,23.46666717529297,24.399999618530273,24.0
699,2018-12-04,TSLA,44.17250061035156,165377200,44.067501068115234,45.59749984741211,45.23749923706055
700,2018-12-04,SONY,51.5099983215332,1113200,51.439998626708984,53.209999084472656,53.09000015258789
701,2018-12-04,AAPL,23.979999542236328,126928500,23.46666717529297,24.57866668701172,23.73666763305664
702,2018-12-06,TSLA,43.68000030517578,172393600,42.60499954223633,43.69499969482422,42.939998626708984
703,2018-12-06,AAPL,51.86000061035156,783400,50.630001068115234,51.91999816894531,50.65999984741211
704,2018-12-06,SONY,24.20400047302246,117637500,23.384000778198242,24.492000579833984,23.733999252319336
705,2018-12-07,TSLA,42.122501373291016,169126400,42.07500076293945,43.622501373291016,43.372501373291016
706,2018-12-07,SONY,51.130001068115234,635000,51.0099983215332,52.31999969482422,52.0
707,2018-12-07,AAPL,23.864667892456055,172668000,23.843332290649414,25.299333572387695,24.600000381469727
708,2018-12-10,TSLA,42.400001525878906,248104000,40.83250045776367,42.522499084472656,41.25
709,2018-12-10,AAPL,51.11000061035156,1024000,50.15999984741211,51.279998779296875,50.650001525878906
710,2018-12-10,SONY,24.343332290649414,99202500,23.541332244873047,24.398666381835938,24.0
711,2018-12-11,TSLA,42.157501220703125,189126800,41.75,42.9474983215332,42.915000915527344
712,2018-12-11,SONY,51.150001525878906,1814300,50.900001525878906,51.79999923706055,51.630001068115234
713,2018-12-11,AAPL,24.450666427612305,94632000,24.01533317565918,24.81133270263672,24.660667419433594
714,2018-12-12,TSLA,42.275001525878906,142510800,42.255001068115234,42.97999954223633,42.599998474121094
715,2018-12-12,AAPL,52.619998931884766,926800,52.43000030517578,53.310001373291016,52.560001373291016
716,2018-12-12,SONY,24.440000534057617,75405000,24.3439998626709,24.79400062561035,24.628000259399414
717,2018-12-13,TSLA,42.73749923706055,127594400,42.38750076293945,43.14250183105469,42.622501373291016
718,2018-12-13,SONY,52.20000076293945,620200,52.029998779296875,52.79999923706055,52.59000015258789
719,2018-12-13,AAPL,25.119333267211914,110488500,24.450000762939453,25.16266632080078,24.676666259765625
720,2018-12-14,TSLA,41.369998931884766,162814800,41.31999969482422,42.27000045776367,42.25
721,2018-12-14,AAPL,51.290000915527344,750600,51.150001525878906,51.90999984741211,51.61000061035156
722,2018-12-14,SONY,24.380666732788086,95064000,24.288667678833008,25.191333770751953,25.0
723,2018-12-17,TSLA,40.98500061035156,177151600,40.682498931884766,42.087501525878906,41.36249923706055
724,2018-12-17,SONY,50.5,711500,50.2599983215332,51.279998779296875,51.189998626708984
725,2018-12-17,AAPL,23.22800064086914,115110000,22.92533302307129,24.3799991607666,24.133333206176758
726,2018-12-18,TSLA,41.51750183105469,135366000,41.09749984741211,41.88249969482422,41.345001220703125
727,2018-12-18,AAPL,49.38999938964844,1163900,49.2400016784668,50.209999084472656,50.02000045776367
728,2018-12-18,SONY,22.468666076660156,106500000,22.246000289916992,23.43666648864746,23.369333267211914
729,2018-12-19,TSLA,40.22249984741211,196189200,39.772499084472656,41.86249923706055,41.5
730,2018-12-19,SONY,48.7599983215332,1428100,48.34000015258789,49.97999954223633,49.38999938964844
731,2018-12-19,AAPL,22.197999954223633,124113000,21.982667922973633,23.134000778198242,22.50666618347168
732,2018-12-20,TSLA,39.20750045776367,259092000,38.82500076293945,40.52750015258789,40.099998474121094
733,2018-12-20,AAPL,48.27000045776367,1314600,47.720001220703125,49.20000076293945,48.599998474121094
734,2018-12-20,SONY,21.025333404541016,136078500,20.791332244873047,22.019332885742188,21.803333282470703
735,2018-12-21,TSLA,37.682498931884766,382978400,37.407501220703125,39.540000915527344,39.21500015258789
736,2018-12-21,SONY,46.72999954223633,1240600,46.689998626708984,47.90999984741211,47.380001068115234
737,2018-12-21,AAPL,21.31800079345703,120252000,20.82933235168457,21.564666748046875,21.15999984741211
738,2018-12-24,TSLA,36.70750045776367,148676800,36.647499084472656,37.88750076293945,37.037498474121094
739,2018-12-24,AAPL,45.880001068115234,807600,45.63999938964844,46.56999969482422,46.06999969482422
740,2018-12-24,SONY,19.69266700744629,83398500,19.68000030517578,20.96666717529297,20.899999618530273
741,2018-12-26,TSLA,39.29249954223633,234330000,36.68000030517578,39.307498931884766,37.07500076293945
742,2018-12-26,SONY,47.619998931884766,1151700,45.849998474121094,47.66999816894531,46.779998779296875
743,2018-12-26,AAPL,21.73933219909668,122446500,19.606000900268555,21.79800033569336,20.0
744,2018-12-27,TSLA,39.037498474121094,212468400,37.51750183105469,39.192501068115234,38.959999084472656
745,2018-12-27,AAPL,48.529998779296875,806000,47.060001373291016,48.529998779296875,47.599998474121094
746,2018-12-27,SONY,21.075332641601562,128626500,20.100000381469727,21.47800064086914,21.32266616821289
747,2018-12-28,TSLA,39.057498931884766,169165600,38.63750076293945,39.630001068115234,39.375
748,2018-12-28,SONY,48.13999938964844,607800,47.849998474121094,48.709999084472656,48.61000061035156
749,2018-12-28,AAPL,22.257999420166016,149085000,21.227333068847656,22.416000366210938,21.540000915527344
750,2018-12-31,TSLA,39.435001373291016,140014000,39.119998931884766,39.84000015258789,39.63249969482422
751,2018-12-31,AAPL,48.279998779296875,858700,47.91999816894531,48.810001373291016,48.72999954223633
752,2018-12-31,SONY,22.18666648864746,94534500,21.68400001525879,22.61400032043457,22.519332885742188
753,2019-01-02,TSLA,39.47999954223633,148158800,38.557498931884766,39.712501525878906,38.72249984741211
754,2019-01-02,SONY,48.720001220703125,779800,47.400001525878906,48.97999954223633,47.56999969482422
755,2019-01-02,AAPL,20.674667358398438,174879000,19.920000076293945,21.0086669921875,20.406667709350586
756,2019-01-03,TSLA,35.54750061035156,365248800,35.5,36.43000030517578,35.994998931884766
757,2019-01-03,AAPL,47.02000045776367,1618500,46.88999938964844,48.279998779296875,48.22999954223633
758,2019-01-03,SONY,20.02400016784668,104478000,19.825332641601562,20.626667022705078,20.46666717529297
759,2019-01-04,TSLA,37.064998626708984,234428400,35.95000076293945,37.13750076293945,36.13249969482422
760,2019-01-04,SONY,49.209999084472656,1185000,48.02000045776367,49.54999923706055,48.119998931884766
761,2019-01-04,AAPL,21.179332733154297,110911500,20.18199920654297,21.200000762939453,20.399999618530273
762,2019-01-07,TSLA,36.98249816894531,219111200,36.474998474121094,37.20750045776367,37.17499923706055
763,2019-01-07,AAPL,49.720001220703125,674000,49.43000030517578,50.310001373291016,49.459999084472656
764,2019-01-07,SONY,22.33066749572754,113268000,21.183332443237305,22.44933319091797,21.447999954223633
765,2019-01-08,TSLA,37.6875,164101200,37.130001068115234,37.95500183105469,37.38999938964844
766,2019-01-08,SONY,49.88999938964844,1033000,49.40999984741211,50.2599983215332,50.150001525878906
767,2019-01-08,AAPL,22.356666564941406,105127500,21.801332473754883,22.93400001525879,22.797332763671875
768,2019-01-09,TSLA,38.32749938964844,180396400,37.407501220703125,38.63249969482422,37.8224983215332
769,2019-01-09,AAPL,49.93000030517578,658900,49.31999969482422,50.130001068115234,49.810001373291016
770,2019-01-09,SONY,22.568666458129883,81493500,22.097999572753906,22.899999618530273,22.366666793823242
771,2019-01-10,TSLA,38.45000076293945,143122800,37.71500015258789,38.49250030517578,38.125
772,2019-01-10,SONY,49.099998474121094,1067000,48.5,49.119998931884766,48.68000030517578
773,2019-01-10,AAPL,22.99799919128418,90846000,22.119333267211914,23.025999069213867,22.293333053588867
774,2019-01-11,TSLA,38.0724983215332,108092800,37.877498626708984,38.42499923706055,38.220001220703125
775,2019-01-11,AAPL,48.97999954223633,591000,48.77000045776367,49.08000183105469,48.880001068115234
776,2019-01-11,SONY,23.150667190551758,75586500,22.584667205810547,23.227333068847656,22.805999755859375
777,2019-01-14,TSLA,37.5,129756800,37.30500030517578,37.817501068115234,37.712501525878906
778,2019-01-14,SONY,48.41999816894531,735900,48.29999923706055,48.7400016784668,48.70000076293945
779,2019-01-14,AAPL,22.293333053588867,78709500,22.266666412353516,22.833332061767578,22.825332641601562
780,2019-01-15,TSLA,38.26750183105469,114843600,37.51250076293945,38.34749984741211,37.567501068115234
781,2019-01-15,AAPL,49.84000015258789,985800,49.599998474121094,50.130001068115234,49.63999938964844
782,2019-01-15,SONY,22.961999893188477,90849000,22.299999237060547,23.253332138061523,22.333332061767578
783,2019-01-16,TSLA,38.73500061035156,122278800,38.25,38.970001220703125,38.27000045776367
784,2019-01-16,SONY,49.61000061035156,880800,49.47999954223633,49.91999816894531,49.58000183105469
785,2019-01-16,AAPL,23.06999969482422,70375500,22.899999618530273,23.46666717529297,22.985332489013672
786,2019-01-17,TSLA,38.96500015258789,119284800,38.314998626708984,39.415000915527344,38.54999923706055
787,2019-01-17,AAPL,49.5099983215332,708700,48.86000061035156,49.7599983215332,49.029998779296875
788,2019-01-17,SONY,23.15399932861328,55150500,22.94333267211914,23.433332443237305,23.08066749572754
789,2019-01-18,TSLA,39.20500183105469,135004000,38.994998931884766,39.470001220703125,39.375
790,2019-01-18,SONY,50.18000030517578,889400,49.790000915527344,50.36000061035156,50.11000061035156
791,2019-01-18,AAPL,20.150667190551758,362262000,19.98200035095215,21.808666229248047,21.53333282470703
792,2019-01-22,TSLA,38.32500076293945,121576000,38.154998779296875,39.182498931884766,39.102500915527344
793,2019-01-22,AAPL,48.470001220703125,901800,48.18000030517578,49.150001525878906,49.040000915527344
794,2019-01-22,SONY,19.92799949645996,181000500,19.700000762939453,20.53333282470703,20.321332931518555
