Date,AAPL,holdings,cash,total,returns
2012-04-05,2263.142967224121,2263.142967224121,98530.50003051758,100793.6429977417,0.0003321196154966177
2012-04-09,2272.249984741211,2272.249984741211,98530.50003051758,100802.75001525879,9.035309416582926e-05
2012-04-10,2244.4286346435547,2244.4286346435547,98530.50003051758,100774.92866516113,-0.00027599792757082575
2012-04-11,2236.428642272949,2236.428642272949,98530.50003051758,100766.92867279053,-7.938474853386168e-05
2012-04-12,2224.1785049438477,2224.1785049438477,98530.50003051758,100754.67853546143,-0.00012156902557658444
2012-04-13,2161.53564453125,2161.53564453125,98530.50003051758,100692.03567504883,-0.0006217364922717072
2012-04-16,2071.8929290771484,2071.8929290771484,98530.50003051758,100602.39295959473,-0.0008902661948696489
2012-04-17,2177.4999618530273,2177.4999618530273,98530.50003051758,100707.9999923706,0.0010497467273795635
2012-04-18,2172.6428985595703,2172.6428985595703,98530.50003051758,100703.14292907715,-4.82291704116955e-05
2012-04-19,2097.999954223633,2097.999954223633,98530.50003051758,100628.49998474121,-0.0007412176240467749
2012-04-20,2046.3571548461914,2046.3571548461914,98530.50003051758,100576.85718536377,-0.0005132025160393683
2012-04-23,2041.7856216430664,2041.7856216430664,98530.50003051758,100572.28565216064,-4.545313237114268e-05
2012-04-24,2001.0000228881836,2001.0000228881836,98530.50003051758,100531.50005340576,-0.0004055351679680408
2012-04-25,2178.571319580078,2178.571319580078,98530.50003051758,100709.07135009766,0.0017663249488724109
2012-04-26,2170.357131958008,2170.357131958008,98530.50003051758,100700.85716247559,-8.156353257904314e-05
2012-04-27,2153.571319580078,2153.571319580078,98530.50003051758,100684.07135009766,-0.0001666898659149485
2012-04-30,2085.6428146362305,2085.6428146362305,98530.50003051758,100616.14284515381,-0.0006746698264480377
2012-05-01,2079.035758972168,2079.035758972168,98530.50003051758,100609.53578948975,-6.566596052315354e-05
2012-05-02,2092.78564453125,2092.78564453125,98530.50003051758,100623.28567504883,0.00013666582845428543
2012-05-03,2077.9285430908203,2077.9285430908203,98530.50003051758,100608.4285736084,-0.0001476507285640416
2012-05-04,2018.75,2018.75,98530.50003051758,100549.25003051758,-0.0005882066137979924
2012-05-07,2033.8571548461914,2033.8571548461914,98530.50003051758,100564.35718536377,0.0001502463205007576
2012-05-08,2029.2142868041992,2029.2142868041992,98530.50003051758,100559.71431732178,-4.61681272763137e-05
2012-05-09,2032.7856063842773,2032.7856063842773,98530.50003051758,100563.28563690186,3.5514416526716275e-05
2012-05-10,2037.5713348388672,2037.5713348388672,98530.50003051758,100568.07136535645,4.758922129766141e-05
2012-05-11,2023.9643096923828,2023.9643096923828,98530.50003051758,100554.46434020996,-0.00013530164158215285
2012-05-14,1993.642807006836,1993.642807006836,98530.50003051758,100524.14283752441,-0.00030154307801744107
2012-05-15,1975.6071090698242,1975.6071090698242,98530.50003051758,100506.1071395874,-0.0001794165802155856
2012-05-16,1950.2857208251953,1950.2857208251953,98530.50003051758,100480.78575134277,-0.0002519388021811064
2012-05-17,1893.2857513427734,1893.2857513427734,98530.50003051758,100423.78578186035,-0.0005672723302888594
2012-05-18,1894.2142486572266,1894.2142486572266,98530.50003051758,100424.7142791748,9.245790797640652e-06
2012-05-21,2004.5713424682617,2004.5713424682617,98530.50003051758,100535.07137298584,0.0010989037370248145
2012-05-22,1989.1786575317383,1989.1786575317383,98530.50003051758,100519.67868804932,-0.00015310761435094467
